Word,TF Divider
"(0, 'pantai')",0.058823529411764705
"(0, 'luas')",0.058823529411764705
"(0, 'pasir')",0.058823529411764705
"(0, 'putih')",0.058823529411764705
"(0, 'bersih')",0.058823529411764705
"(0, 'jalan')",0.11764705882352941
"(0, 'kuda')",0.058823529411764705
"(0, 'orang')",0.058823529411764705
"(0, 'bayar')",0.058823529411764705
"(0, 'ribu')",0.17647058823529413
"(0, 'beli')",0.058823529411764705
"(0, 'rujak')",0.058823529411764705
"(0, 'pop')",0.058823529411764705
"(0, 'mie')",0.058823529411764705
"(1, 'pantai')",0.058823529411764705
"(1, 'pasir')",0.058823529411764705
"(1, 'putih')",0.058823529411764705
"(1, 'sumenep')",0.058823529411764705
"(1, 'gazebo')",0.058823529411764705
"(1, 'cocok')",0.058823529411764705
"(1, 'wisata')",0.058823529411764705
"(1, 'keluarga')",0.058823529411764705
"(1, 'pekan')",0.058823529411764705
"(1, 'sewa')",0.058823529411764705
"(1, 'kuda')",0.058823529411764705
"(1, 'jual')",0.058823529411764705
"(1, 'makan')",0.058823529411764705
"(1, 'fasilitas')",0.058823529411764705
"(1, 'toilet')",0.058823529411764705
"(1, 'kamar')",0.058823529411764705
"(1, 'mandi')",0.058823529411764705
"(2, 'lokasi')",0.05555555555555555
"(2, 'bagus')",0.05555555555555555
"(2, 'pantai')",0.05555555555555555
"(2, 'luassss')",0.05555555555555555
"(2, 'spot')",0.05555555555555555
"(2, 'khas')",0.05555555555555555
"(2, 'pohon')",0.05555555555555555
"(2, 'cemaraa')",0.05555555555555555
"(2, 'buanyaakkkkkkkk')",0.05555555555555555
"(2, 'rindang')",0.05555555555555555
"(2, 'sedia')",0.05555555555555555
"(2, 'kamar')",0.05555555555555555
"(2, 'mandi')",0.05555555555555555
"(2, 'bersih')",0.05555555555555555
"(2, 'kantin')",0.05555555555555555
"(2, 'harga')",0.05555555555555555
"(2, 'jangkau')",0.05555555555555555
"(2, 'main')",0.05555555555555555
"(3, 'bagus')",0.05263157894736842
"(3, 'tingkat')",0.05263157894736842
"(3, 'bersih')",0.05263157894736842
"(3, 'orng')",0.05263157894736842
"(3, 'disnaa')",0.05263157894736842
"(3, 'ramah')",0.10526315789473684
"(3, 'jual')",0.05263157894736842
"(3, 'mkananya')",0.05263157894736842
"(3, 'sewa')",0.05263157894736842
"(3, 'kuda')",0.05263157894736842
"(3, 'banget')",0.10526315789473684
"(3, 'sejuk')",0.05263157894736842
"(3, 'pantai')",0.05263157894736842
"(3, 'lombang')",0.05263157894736842
"(3, 'samapi')",0.05263157894736842
"(3, 'tidur')",0.05263157894736842
"(3, 'hehehe')",0.05263157894736842
"(4, 'pantai')",0.16666666666666666
"(4, 'cantik')",0.16666666666666666
"(4, 'bagus')",0.16666666666666666
"(4, 'pohon')",0.16666666666666666
"(4, 'cemara')",0.16666666666666666
"(4, 'udang')",0.16666666666666666
"(5, 'klapa')",0.09090909090909091
"(5, 'ijo')",0.09090909090909091
"(5, 'mantap')",0.09090909090909091
"(5, 'murah')",0.09090909090909091
"(5, 'ramah')",0.09090909090909091
"(5, 'parkir')",0.09090909090909091
"(5, 'rapi')",0.09090909090909091
"(5, 'tunggul')",0.09090909090909091
"(5, 'pohon')",0.09090909090909091
"(5, 'adem')",0.09090909090909091
"(5, 'bersih')",0.09090909090909091
"(6, 'tiket')",0.06666666666666667
"(6, 'masuk')",0.06666666666666667
"(6, 'orang')",0.06666666666666667
"(6, 'parkir')",0.06666666666666667
"(6, 'mobil')",0.06666666666666667
"(6, 'pantai')",0.06666666666666667
"(6, 'bersih')",0.06666666666666667
"(6, 'luas')",0.06666666666666667
"(6, 'weekday')",0.06666666666666667
"(6, 'lumayan')",0.06666666666666667
"(6, 'sepi')",0.06666666666666667
"(6, 'kuda')",0.06666666666666667
"(6, 'gazebo')",0.06666666666666667
"(6, 'duduk')",0.06666666666666667
"(6, 'santai')",0.06666666666666667
"(7, 'pantai')",0.1111111111111111
"(7, 'indah')",0.05555555555555555
"(7, 'atas')",0.05555555555555555
"(7, 'ekspektasi')",0.05555555555555555
"(7, 'bersih')",0.05555555555555555
"(7, 'ramai')",0.05555555555555555
"(7, 'puas')",0.05555555555555555
"(7, 'nikmat')",0.05555555555555555
"(7, 'view')",0.05555555555555555
"(7, 'laut')",0.05555555555555555
"(7, 'pohon')",0.05555555555555555
"(7, 'cemara')",0.05555555555555555
"(7, 'neduh')",0.05555555555555555
"(7, 'aman')",0.05555555555555555
"(7, 'panas')",0.05555555555555555
"(7, 'ngebayangin')",0.05555555555555555
"(7, 'madura')",0.05555555555555555
"(8, 'asli')",0.058823529411764705
"(8, 'bintang')",0.058823529411764705
"(8, 'kasih')",0.058823529411764705
"(8, 'bonus')",0.058823529411764705
"(8, 'kenang')",0.058823529411764705
"(8, 'lupa')",0.058823529411764705
"(8, 'tiket')",0.058823529411764705
"(8, 'masuk')",0.058823529411764705
"(8, 'orang')",0.17647058823529413
"(8, 'parkir')",0.058823529411764705
"(8, 'mobil')",0.058823529411764705
"(8, 'kuda')",0.058823529411764705
"(8, 'naik')",0.058823529411764705
"(8, 'duduk')",0.058823529411764705
"(8, 'gazebo')",0.058823529411764705
"(9, 'nganjuk')",0.09090909090909091
"(9, 'jawa')",0.09090909090909091
"(9, 'timur')",0.09090909090909091
"(9, 'pantai')",0.18181818181818182
"(9, 'oke')",0.09090909090909091
"(9, 'bagus')",0.18181818181818182
"(9, 'fasilitas')",0.09090909090909091
"(9, 'jalan')",0.09090909090909091
"(9, 'lokasi')",0.09090909090909091
