Word,Kata Muncul,IDF Divider
fasiltas,1,8.006367567650246
mata,19,5.061928588483807
riah,12,5.521460917862246
sembunyi,5,6.396929655216146
surga,9,5.809142990314028
eman,1,8.006367567650246
tutup,15,5.298317366548036
haduch,1,8.006367567650246
tadabur,1,8.006367567650246
alam,102,3.3813947543659757
halus,13,5.44141821018871
beda,22,4.915325114291931
tahun,4,6.620073206530356
susur,2,7.313220387090301
dahaga,1,8.006367567650246
degan,6,6.214608098422191
hapus,2,7.313220387090301
patut,8,5.926926025970411
mumpuni,1,8.006367567650246
dukung,14,5.367310238034988
bareng,15,5.298317366548036
acara,10,5.703782474656201
budaya,4,6.620073206530356
ruame,2,7.313220387090301
tradisi,1,8.006367567650246
tumbuh,7,6.060457418594933
garis,4,6.620073206530356
spesial,4,6.620073206530356
butuh,18,5.115995809754082
menit,12,5.521460917862246
sore,50,4.0943445622221
sulit,12,5.521460917862246
cari,22,4.915325114291931
coklat,9,5.809142990314028
emas,2,7.313220387090301
tepi,21,4.961845129926823
ajar,3,6.907755278982137
keren,95,3.452490676049706
identik,2,7.313220387090301
teduh,17,5.173154223594031
rekomended,10,5.703782474656201
gelombang,6,6.214608098422191
tanam,2,7.313220387090301
trendy,1,8.006367567650246
so,5,6.396929655216146
mampir,34,4.480007043034085
abiz,2,7.313220387090301
singgah,4,6.620073206530356
menu,33,4.509860006183766
dagang,12,5.521460917862246
milenial,1,8.006367567650246
ftonya,1,8.006367567650246
wao,1,8.006367567650246
aku,4,6.620073206530356
kece,2,7.313220387090301
murni,2,7.313220387090301
kaki,6,6.214608098422191
sungguh,13,5.44141821018871
kereeennnn,1,8.006367567650246
bangeettt,1,8.006367567650246
biasaa,1,8.006367567650246
tata,28,4.674163057475043
jelek,10,5.703782474656201
pampers,1,8.006367567650246
plastik,9,5.809142990314028
bekas,29,4.639071737663773
tawar,14,5.367310238034988
alami,44,4.222177933731985
hibur,7,6.060457418594933
relatif,12,5.521460917862246
hlem,1,8.006367567650246
langsung,81,3.611918412977808
sanah,1,8.006367567650246
ngetrip,1,8.006367567650246
bengong,2,7.313220387090301
tarif,10,5.703782474656201
banjir,1,8.006367567650246
hujan,43,4.245167451956684
ga,55,3.9990343824177756
reda,1,8.006367567650246
renovasi,4,6.620073206530356
portable,1,8.006367567650246
cepat,30,4.605170185988092
tambah,39,4.3428059215206005
permanent,1,8.006367567650246
selesai,7,6.060457418594933
bangun,19,5.061928588483807
ambil,34,4.480007043034085
sunsidenya,1,8.006367567650246
tentram,2,7.313220387090301
damai,4,6.620073206530356
seru,15,5.298317366548036
spnjang,1,8.006367567650246
musolla,2,7.313220387090301
unk,3,6.907755278982137
pagar,11,5.608472294851876
jenis,1,8.006367567650246
pentol,3,6.907755278982137
bakso,2,7.313220387090301
lebaran,9,5.809142990314028
suguh,5,6.396929655216146
jalur,15,5.298317366548036
jernih,25,4.787491742782046
cuman,32,4.54063166485052
kangen,6,6.214608098422191
ngilangin,2,7.313220387090301
cinta,15,5.298317366548036
mudah,41,4.292795500945939
exotic,3,6.907755278982137
anggota,2,7.313220387090301
minum,43,4.245167451956684
serta,8,5.926926025970411
rimbun,1,8.006367567650246
berita,3,6.907755278982137
tanah,24,4.8283137373023015
penuh,21,4.961845129926823
has,1,8.006367567650246
landai,7,6.060457418594933
lelah,6,6.214608098422191
lepas,9,5.809142990314028
pdhal,1,8.006367567650246
salur,4,6.620073206530356
pengin,2,7.313220387090301
bibir,7,6.060457418594933
hias,4,6.620073206530356
istirahat,14,5.367310238034988
sesuai,16,5.233778845410465
ekor,2,7.313220387090301
jorok,3,6.907755278982137
bocor,3,6.907755278982137
genteng,2,7.313220387090301
lembutttt,1,8.006367567650246
lebar,8,5.926926025970411
ekstra,1,8.006367567650246
ranting,2,7.313220387090301
parah,8,5.926926025970411
lingkung,7,6.060457418594933
hati,32,4.54063166485052
pangkas,1,8.006367567650246
bus,13,5.44141821018871
panjang,4,6.620073206530356
jarak,8,5.926926025970411
lapar,2,7.313220387090301
haus,3,6.907755278982137
ringan,3,6.907755278982137
capek,1,8.006367567650246
biaya,33,4.509860006183766
bekal,3,6.907755278982137
indaah,1,8.006367567650246
mini,3,6.907755278982137
relaksasi,2,7.313220387090301
sd,3,6.907755278982137
muda,20,5.0106352940962555
kopyor,1,8.006367567650246
kmr,1,8.006367567650246
obat,4,6.620073206530356
favorit,7,6.060457418594933
kelapa,13,5.44141821018871
minibus,1,8.006367567650246
datar,4,6.620073206530356
asyik,26,4.748271029628765
lebih,8,5.926926025970411
sendiri,1,8.006367567650246
tumpang,4,6.620073206530356
betah,4,6.620073206530356
event,1,8.006367567650246
loh,5,6.396929655216146
gate,1,8.006367567650246
panjaaang,1,8.006367567650246
renang,27,4.710530701645918
bocah,2,7.313220387090301
upgrade,2,7.313220387090301
cuaca,22,4.915325114291931
khusus,11,5.608472294851876
review,2,7.313220387090301
channel,2,7.313220387090301
vibes,1,8.006367567650246
yutub,1,8.006367567650246
positive,1,8.006367567650246
indonesia,8,5.926926025970411
bola,1,8.006367567650246
trus,18,5.115995809754082
jngn,1,8.006367567650246
ngeri,2,7.313220387090301
daerah,38,4.368781407923861
payah,2,7.313220387090301
abai,3,6.907755278982137
besar,12,5.521460917862246
ganggu,6,6.214608098422191
november,5,6.396929655216146
perintah,19,5.061928588483807
aset,3,6.907755278982137
buat,14,5.367310238034988
limbah,2,7.313220387090301
potensi,8,5.926926025970411
tambak,2,7.313220387090301
turing,1,8.006367567650246
keee,1,8.006367567650246
momentnya,1,8.006367567650246
kadang,8,5.926926025970411
tolong,1,8.006367567650246
jk,1,8.006367567650246
wlo,1,8.006367567650246
jatuh,13,5.44141821018871
tetrllu,1,8.006367567650246
eksotis,12,5.521460917862246
kwartir,1,8.006367567650246
jasa,5,6.396929655216146
teman,27,4.710530701645918
recommended,12,5.521460917862246
penasaran,12,5.521460917862246
dsn,1,8.006367567650246
pt,1,8.006367567650246
dtang,1,8.006367567650246
bnyak,8,5.926926025970411
nyesel,5,6.396929655216146
disepanjng,1,8.006367567650246
pokok,31,4.5723803631651005
inap,53,4.036075654098125
top,12,5.521460917862246
bentang,4,6.620073206530356
injak,3,6.907755278982137
ku,7,6.060457418594933
elok,5,6.396929655216146
nama,18,5.115995809754082
kelak,2,7.313220387090301
es,15,5.298317366548036
langgan,8,5.926926025970411
bengkalai,2,7.313220387090301
cm,13,5.44141821018871
sebenernya,4,6.620073206530356
dikit,8,5.926926025970411
nan,13,5.44141821018871
tiada,2,7.313220387090301
indahh,2,7.313220387090301
gugus,2,7.313220387090301
mes,1,8.006367567650246
maksimal,11,5.608472294851876
tahan,7,6.060457418594933
kemah,3,6.907755278982137
pleton,1,8.006367567650246
suananya,2,7.313220387090301
udara,16,5.233778845410465
maju,9,5.809142990314028
legendaris,1,8.006367567650246
nyantai,6,6.214608098422191
x,19,5.061928588483807
baru,1,8.006367567650246
resmi,6,6.214608098422191
website,1,8.006367567650246
beri,2,7.313220387090301
publik,1,8.006367567650246
pamekasan,52,4.05512384906882
informasi,9,5.809142990314028
milik,16,5.233778845410465
surabaya,23,4.870873351721097
mahal,35,4.451019506160833
sunset,27,4.710530701645918
rugi,5,6.396929655216146
blom,1,8.006367567650246
adeem,2,7.313220387090301
warna,22,4.915325114291931
full,4,6.620073206530356
lagi,1,8.006367567650246
jugaa,2,7.313220387090301
susah,14,5.367310238034988
dr,27,4.710530701645918
tubuh,1,8.006367567650246
bersiin,2,7.313220387090301
asik,27,4.710530701645918
refreshing,7,6.060457418594933
umum,1,8.006367567650246
kecewa,17,5.173154223594031
aroma,1,8.006367567650246
kencing,2,7.313220387090301
sedap,3,6.907755278982137
sanggat,1,8.006367567650246
anginya,2,7.313220387090301
cemaranyaa,1,8.006367567650246
lama,2,7.313220387090301
ciri,4,6.620073206530356
covid,3,6.907755278982137
pandemi,6,6.214608098422191
lambang,3,6.907755278982137
lombanng,1,8.006367567650246
drpd,4,6.620073206530356
palsu,6,6.214608098422191
